crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
PEPEUSDC	2025-03	-111	1	93.25529786757944	1.5	0.05	1.5	0.04	17
PEPEUSDC	2025-03	-111	2	90.42954160259804	1.5	0.05	1.5	0.13999999999999999	17
PEPEUSDC	2025-03	-111	3	92.22566496054615	1.5	0.05	1.5	0.24000000000000002	17
PEPEUSDC	2025-03	-111	4	90.22708824287837	1.5	0.05	1.5	0.34	17
PEPEUSDC	2025-03	-111	5	92.12821613799943	1.5	0.05	1.5	0.44	17
PEPEUSDC	2025-03	-111	6	91.84941747750882	1.5	0.05	1.5	0.54	17
PEPEUSDC	2025-03	-111	7	94.8538182660634	1.5	0.05	1.5	0.64	17
PEPEUSDC	2025-03	-111	8	94.23914911720618	1.5	0.05	1.5	0.74	17
PEPEUSDC	2025-03	-111	9	91.73440533848559	1.5	0.05	1.5	0.84	16
PEPEUSDC	2025-03	-111	10	94.14691021235663	1.5	0.05	1.5	0.9400000000000001	16
PEPEUSDC	2025-03	-111	11	96.32705837961683	1.5	0.05	1.5	1.04	16
PEPEUSDC	2025-03	-111	12	99.82165290711094	1.5	0.05	1.5	1.14	16
PEPEUSDC	2025-03	-111	13	102.7705713589595	1.5	0.05	1.5	1.24	16
PEPEUSDC	2025-03	-111	14	102.01363592549441	1.5	0.05	1.5	1.34	16
PEPEUSDC	2025-03	-111	15	102.63133101513615	1.5	0.05	1.5	1.44	16
PEPEUSDC	2025-03	-111	16	108.46577271228607	1.5	0.05	1.5	1.5399999999999998	16
PEPEUSDC	2025-03	-111	17	113.65496787977207	1.5	0.05	1.5	1.6400000000000001	17
PEPEUSDC	2025-03	-111	18	111.57458829207442	1.5	0.05	1.5	1.7400000000000002	17
PEPEUSDC	2025-03	-111	19	110.77989780805126	1.5	0.05	1.5	1.8400000000000003	17
PEPEUSDC	2025-03	-111	20	106.01767220564358	1.5	0.05	1.5	1.94	17
PEPEUSDC	2025-03	-111	21	104.70620600163419	1.5	0.05	1.5	2.04	16
