crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
SOLUSDC	2025-05	-111	1	34.10538103188529	1.5	0.05	1.5	0.6	13
SOLUSDC	2025-05	-111	2	34.10307939282004	1.5	0.05	1.5	0.8	13
SOLUSDC	2025-05	-111	3	33.72325993128874	1.5	0.05	1.5	1.0	13
SOLUSDC	2025-05	-111	4	33.93471795965023	1.5	0.05	1.5	1.2	13
SOLUSDC	2025-05	-111	5	38.04518248302537	1.5	0.05	1.5	1.4000000000000001	13
SOLUSDC	2025-05	-111	6	33.85878899568086	1.5	0.05	1.5	1.6	12
SOLUSDC	2025-05	-111	7	29.52527649816497	1.5	0.05	1.5	1.8000000000000003	12
