crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
PEPEUSDC	2025-07	-111	1	71.59450819397632	1.5	0.05	1.5	0.04	20
PEPEUSDC	2025-07	-111	2	71.2531068433333	1.5	0.05	1.5	0.13999999999999999	20
PEPEUSDC	2025-07	-111	3	71.90114988756453	1.5	0.05	1.5	0.24000000000000002	20
PEPEUSDC	2025-07	-111	4	71.74785279022515	1.5	0.05	1.5	0.34	20
PEPEUSDC	2025-07	-111	5	72.28222422789558	1.5	0.05	1.5	0.44	19
PEPEUSDC	2025-07	-111	6	71.6293699704286	1.5	0.05	1.5	0.54	19
PEPEUSDC	2025-07	-111	7	69.7607137756439	1.5	0.05	1.5	0.64	19
PEPEUSDC	2025-07	-111	8	72.36520993351444	1.5	0.05	1.5	0.74	19
PEPEUSDC	2025-07	-111	9	75.60335308541048	1.5	0.05	1.5	0.84	19
PEPEUSDC	2025-07	-111	10	73.04354848956513	1.5	0.05	1.5	0.9400000000000001	19
PEPEUSDC	2025-07	-111	11	73.30690603796009	1.5	0.05	1.5	1.04	19
PEPEUSDC	2025-07	-111	12	70.85792359548209	1.5	0.05	1.5	1.14	19
PEPEUSDC	2025-07	-111	13	69.44612434217375	1.5	0.05	1.5	1.24	19
PEPEUSDC	2025-07	-111	14	68.79023946364367	1.5	0.05	1.5	1.34	19
PEPEUSDC	2025-07	-111	15	66.55895831446186	1.5	0.05	1.5	1.44	19
PEPEUSDC	2025-07	-111	16	65.82705736084792	1.5	0.05	1.5	1.5399999999999998	19
PEPEUSDC	2025-07	-111	17	64.12018336009224	1.5	0.05	1.5	1.6400000000000001	19
PEPEUSDC	2025-07	-111	18	60.35847928289353	1.5	0.05	1.5	1.7400000000000002	18
PEPEUSDC	2025-07	-111	19	56.017779869209924	1.5	0.05	1.5	1.8400000000000003	18
PEPEUSDC	2025-07	-111	20	54.7389674127519	1.5	0.05	1.5	1.94	18
PEPEUSDC	2025-07	-111	21	55.12079220524349	1.5	0.05	1.5	2.04	18
PEPEUSDC	2025-07	-111	22	56.737914231336234	1.5	0.05	1.5	2.14	18
PEPEUSDC	2025-07	-111	23	53.19154875898656	1.5	0.05	1.5	2.2399999999999998	18
PEPEUSDC	2025-07	-111	24	53.97780979290389	1.5	0.05	1.5	2.34	18
PEPEUSDC	2025-07	-111	25	52.878400118403604	1.5	0.05	1.5	2.44	18
PEPEUSDC	2025-07	-111	26	53.67724810734939	1.5	0.05	1.5	2.54	18
PEPEUSDC	2025-07	-111	27	57.15897363400609	1.5	0.05	1.5	2.64	18
PEPEUSDC	2025-07	-111	28	55.06525844865237	1.5	0.05	1.5	2.74	18
PEPEUSDC	2025-07	-111	29	53.24514752213491	1.5	0.05	1.5	2.8400000000000003	18
PEPEUSDC	2025-07	-111	30	51.7644556258627	1.5	0.05	1.5	2.9400000000000004	18
PEPEUSDC	2025-07	-111	31	50.31528163917559	1.5	0.05	1.5	3.04	18
PEPEUSDC	2025-07	-111	32	49.39158017830369	1.5	0.05	1.5	3.1399999999999997	18
PEPEUSDC	2025-07	-111	33	47.990735185174884	1.5	0.05	1.5	3.2399999999999998	17
PEPEUSDC	2025-07	-111	34	46.92685807249113	1.5	0.05	1.5	3.34	17
PEPEUSDC	2025-07	-111	35	48.499293401333645	1.5	0.05	1.5	3.44	17
PEPEUSDC	2025-07	-111	36	54.637463565467726	1.5	0.05	1.5	3.54	17
PEPEUSDC	2025-07	-111	37	53.98980185466039	1.5	0.05	1.5	3.64	17
PEPEUSDC	2025-07	-111	38	52.17666724121288	1.5	0.05	1.5	3.7399999999999998	17
PEPEUSDC	2025-07	-111	39	52.3842445448124	1.5	0.05	1.5	3.84	17
PEPEUSDC	2025-07	-111	40	51.601136365062686	1.5	0.05	1.5	3.94	17
