crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
PEPEUSDC	2025-06	-111	1	60.30613230056731	1.5	0.05	1.5	0.04	21
PEPEUSDC	2025-06	-111	2	59.454493456733985	1.5	0.05	1.5	0.13999999999999999	21
PEPEUSDC	2025-06	-111	3	58.44134565400903	1.5	0.05	1.5	0.24000000000000002	21
PEPEUSDC	2025-06	-111	4	59.06394848390996	1.5	0.05	1.5	0.34	21
PEPEUSDC	2025-06	-111	5	58.42164982842866	1.5	0.05	1.5	0.44	21
PEPEUSDC	2025-06	-111	6	57.30317195766039	1.5	0.05	1.5	0.54	21
PEPEUSDC	2025-06	-111	7	56.44808476164321	1.5	0.05	1.5	0.64	21
PEPEUSDC	2025-06	-111	8	57.550186017114115	1.5	0.05	1.5	0.74	21
PEPEUSDC	2025-06	-111	9	52.155634025349286	1.5	0.05	1.5	0.84	21
PEPEUSDC	2025-06	-111	10	50.32596945175047	1.5	0.05	1.5	0.9400000000000001	21
PEPEUSDC	2025-06	-111	11	49.47761046106453	1.5	0.05	1.5	1.04	21
PEPEUSDC	2025-06	-111	12	47.78596133059625	1.5	0.05	1.5	1.14	21
PEPEUSDC	2025-06	-111	13	50.296769713962405	1.5	0.05	1.5	1.24	20
PEPEUSDC	2025-06	-111	14	47.65908312694599	1.5	0.05	1.5	1.34	20
PEPEUSDC	2025-06	-111	15	46.120608060233394	1.5	0.05	1.5	1.44	20
PEPEUSDC	2025-06	-111	16	47.61535062468857	1.5	0.05	1.5	1.5399999999999998	20
PEPEUSDC	2025-06	-111	17	52.80718965053213	1.5	0.05	1.5	1.6400000000000001	20
PEPEUSDC	2025-06	-111	18	53.22355248823584	1.5	0.05	1.5	1.7400000000000002	20
PEPEUSDC	2025-06	-111	19	51.06811169746156	1.5	0.05	1.5	1.8400000000000003	21
PEPEUSDC	2025-06	-111	20	54.56492798459554	1.5	0.05	1.5	1.94	20
PEPEUSDC	2025-06	-111	21	51.91432151615795	1.5	0.05	1.5	2.04	20
PEPEUSDC	2025-06	-111	22	56.032355796526616	1.5	0.05	1.5	2.14	20
PEPEUSDC	2025-06	-111	23	56.98240654164509	1.5	0.05	1.5	2.2399999999999998	20
PEPEUSDC	2025-06	-111	24	57.45794540149631	1.5	0.05	1.5	2.34	20
PEPEUSDC	2025-06	-111	25	60.32992178515069	1.5	0.05	1.5	2.44	20
PEPEUSDC	2025-06	-111	26	59.55117493225784	1.5	0.05	1.5	2.54	20
PEPEUSDC	2025-06	-111	27	58.449673242677136	1.5	0.05	1.5	2.64	20
PEPEUSDC	2025-06	-111	28	59.828948850353285	1.5	0.05	1.5	2.74	20
PEPEUSDC	2025-06	-111	29	57.86614980377235	1.5	0.05	1.5	2.8400000000000003	20
PEPEUSDC	2025-06	-111	30	56.08309764456014	1.5	0.05	1.5	2.9400000000000004	19
PEPEUSDC	2025-06	-111	31	55.66016069768068	1.5	0.05	1.5	3.04	19
PEPEUSDC	2025-06	-111	32	55.74274973773634	1.5	0.05	1.5	3.1399999999999997	19
PEPEUSDC	2025-06	-111	33	55.50999245815754	1.5	0.05	1.5	3.2399999999999998	19
PEPEUSDC	2025-06	-111	34	54.821588879859604	1.5	0.05	1.5	3.34	19
PEPEUSDC	2025-06	-111	35	53.14541819327873	1.5	0.05	1.5	3.44	19
PEPEUSDC	2025-06	-111	36	52.77529534269708	1.5	0.05	1.5	3.54	19
PEPEUSDC	2025-06	-111	37	51.734357533914554	1.5	0.05	1.5	3.64	19
PEPEUSDC	2025-06	-111	38	50.320618928947994	1.5	0.05	1.5	3.7399999999999998	18
PEPEUSDC	2025-06	-111	39	49.561524321394266	1.5	0.05	1.5	3.84	18
PEPEUSDC	2025-06	-111	40	49.44546718905201	1.5	0.05	1.5	3.94	18
