crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
SOLUSDC	2025-04	-111	1	56.7579836432092	1.5	0.05	1.5	0.4	5
SOLUSDC	2025-04	-111	2	51.81463774970022	1.5	0.05	1.5	0.6	6
SOLUSDC	2025-04	-111	3	51.458909423539566	1.5	0.05	1.5	0.8	7
SOLUSDC	2025-04	-111	4	51.646908943423924	1.5	0.05	1.5	1.0	7
SOLUSDC	2025-04	-111	5	54.850916872079935	1.5	0.05	1.5	1.2	6
SOLUSDC	2025-04	-111	6	59.752097552324535	1.5	0.05	1.5	1.4000000000000001	7
SOLUSDC	2025-04	-111	7	62.81462453037696	1.5	0.05	1.5	1.6	7
SOLUSDC	2025-04	-111	8	60.44446440173405	1.5	0.05	1.5	1.8000000000000003	7
SOLUSDC	2025-04	-111	9	61.00897204785848	1.5	0.05	1.5	2.0	6
