crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
PEPEUSDC	2025-04	-111	1	77.77401568262349	1.5	0.05	1.5	0.04	8
PEPEUSDC	2025-04	-111	2	75.28005426665155	1.5	0.05	1.5	0.13999999999999999	8
PEPEUSDC	2025-04	-111	3	73.93801473837182	1.5	0.05	1.5	0.24000000000000002	7
PEPEUSDC	2025-04	-111	4	73.96053550954711	1.5	0.05	1.5	0.34	7
PEPEUSDC	2025-04	-111	5	73.96487831835947	1.5	0.05	1.5	0.44	8
PEPEUSDC	2025-04	-111	6	74.81407690566462	1.5	0.05	1.5	0.54	7
PEPEUSDC	2025-04	-111	7	75.20247877474992	1.5	0.05	1.5	0.64	7
PEPEUSDC	2025-04	-111	8	75.37477811092927	1.5	0.05	1.5	0.74	8
PEPEUSDC	2025-04	-111	9	77.37883636234315	1.5	0.05	1.5	0.84	7
PEPEUSDC	2025-04	-111	10	77.45295127423648	1.5	0.05	1.5	0.9400000000000001	7
PEPEUSDC	2025-04	-111	11	73.14169397616162	1.5	0.05	1.5	1.04	7
PEPEUSDC	2025-04	-111	12	70.34782452445266	1.5	0.05	1.5	1.14	7
PEPEUSDC	2025-04	-111	13	68.74537221355135	1.5	0.05	1.5	1.24	7
PEPEUSDC	2025-04	-111	14	70.32343939940343	1.5	0.05	1.5	1.34	8
PEPEUSDC	2025-04	-111	15	68.66836891254903	1.5	0.05	1.5	1.44	8
PEPEUSDC	2025-04	-111	16	66.01987779555174	1.5	0.05	1.5	1.5399999999999998	8
PEPEUSDC	2025-04	-111	17	62.74758340977126	1.5	0.05	1.5	1.6400000000000001	8
PEPEUSDC	2025-04	-111	18	61.82476153548801	1.5	0.05	1.5	1.7400000000000002	8
PEPEUSDC	2025-04	-111	19	62.113606625633	1.5	0.05	1.5	1.8400000000000003	8
PEPEUSDC	2025-04	-111	20	64.15105608775109	1.5	0.05	1.5	1.94	8
PEPEUSDC	2025-04	-111	21	62.662004757202695	1.5	0.05	1.5	2.04	8
PEPEUSDC	2025-04	-111	22	60.36652349690138	1.5	0.05	1.5	2.14	8
PEPEUSDC	2025-04	-111	23	59.087562195375234	1.5	0.05	1.5	2.2399999999999998	8
PEPEUSDC	2025-04	-111	24	61.94097330950485	1.5	0.05	1.5	2.34	8
PEPEUSDC	2025-04	-111	25	62.044969049565054	1.5	0.05	1.5	2.44	8
PEPEUSDC	2025-04	-111	26	63.76349354309116	1.5	0.05	1.5	2.54	8
PEPEUSDC	2025-04	-111	27	62.73276619758258	1.5	0.05	1.5	2.64	8
PEPEUSDC	2025-04	-111	28	60.53542944370587	1.5	0.05	1.5	2.74	8
PEPEUSDC	2025-04	-111	29	69.79461836083439	1.5	0.05	1.5	2.8400000000000003	8
PEPEUSDC	2025-04	-111	30	72.58057992677602	1.5	0.05	1.5	2.9400000000000004	8
PEPEUSDC	2025-04	-111	31	72.07345711909375	1.5	0.05	1.5	3.04	7
PEPEUSDC	2025-04	-111	32	70.49057656453805	1.5	0.05	1.5	3.1399999999999997	7
PEPEUSDC	2025-04	-111	33	72.22782972032158	1.5	0.05	1.5	3.2399999999999998	7
PEPEUSDC	2025-04	-111	34	71.9418489575198	1.5	0.05	1.5	3.34	7
PEPEUSDC	2025-04	-111	35	73.81671689298342	1.5	0.05	1.5	3.44	7
PEPEUSDC	2025-04	-111	36	71.7510085210719	1.5	0.05	1.5	3.54	7
PEPEUSDC	2025-04	-111	37	74.57262251771392	1.5	0.05	1.5	3.64	7
PEPEUSDC	2025-04	-111	38	77.68524849933117	1.5	0.05	1.5	3.7399999999999998	7
PEPEUSDC	2025-04	-111	39	78.56528579403016	1.5	0.05	1.5	3.84	7
PEPEUSDC	2025-04	-111	40	73.74179469012523	1.5	0.05	1.5	3.94	7
