crypto	date	nb_loop	rank	profit	buy_drop_pct	buy_pullback_pct	sell_gain_pct	sell_pullback_pct	last_pos
SOLUSDC	2025-06	-111	1	31.10092479856003	1.5	0.05	1.5	0.8	5
SOLUSDC	2025-06	-111	2	32.10491489144006	1.5	0.05	1.5	0.9000000000000001	5
SOLUSDC	2025-06	-111	3	29.83430632212871	1.5	0.05	1.5	1.0000000000000002	5
SOLUSDC	2025-06	-111	4	30.808319737342973	1.5	0.05	1.5	1.1000000000000003	5
SOLUSDC	2025-06	-111	5	30.532737010065503	1.5	0.05	1.5	1.2000000000000004	5
SOLUSDC	2025-06	-111	6	32.20797218056386	1.5	0.05	1.5	1.3000000000000005	6
SOLUSDC	2025-06	-111	7	32.42535748729525	1.5	0.05	1.5	1.4000000000000006	6
SOLUSDC	2025-06	-111	8	31.80271098445455	1.5	0.05	1.5	1.5000000000000007	6
SOLUSDC	2025-06	-111	9	30.30461406377984	1.5	0.05	1.5	1.6000000000000008	7
SOLUSDC	2025-06	-111	10	30.258024926835855	1.5	0.05	1.5	1.7000000000000008	5
SOLUSDC	2025-06	-111	11	29.826713813022312	1.5	0.05	1.5	1.800000000000001	5
SOLUSDC	2025-06	-111	12	28.96828599898817	1.5	0.05	1.5	1.900000000000001	5
SOLUSDC	2025-06	-111	13	28.715980308823728	1.5	0.05	1.5	2.000000000000001	5
SOLUSDC	2025-06	-111	14	27.824080590468363	1.5	0.05	1.5	2.100000000000001	5
SOLUSDC	2025-06	-111	15	29.382363845732428	1.5	0.05	1.5	2.200000000000001	5
SOLUSDC	2025-06	-111	16	30.69020273098134	1.5	0.05	1.5	2.300000000000001	6
SOLUSDC	2025-06	-111	17	29.523991796906046	1.5	0.05	1.5	2.4000000000000012	6
SOLUSDC	2025-06	-111	18	29.30437713079414	1.5	0.05	1.5	2.5000000000000013	5
SOLUSDC	2025-06	-111	19	27.472133577773228	1.5	0.05	1.5	2.6000000000000014	7
SOLUSDC	2025-06	-111	20	26.42941804506365	1.5	0.05	1.5	2.7000000000000015	7
SOLUSDC	2025-06	-111	21	26.093368538640103	1.5	0.05	1.5	2.8000000000000016	7
SOLUSDC	2025-06	-111	22	24.634913541590528	1.5	0.05	1.5	2.9000000000000017	7
SOLUSDC	2025-06	-111	23	22.956855356732216	1.5	0.05	1.5	3.0000000000000018	7
SOLUSDC	2025-06	-111	24	22.365162531686476	1.5	0.05	1.5	3.100000000000002	7
SOLUSDC	2025-06	-111	25	22.29006207319821	1.5	0.05	1.5	3.200000000000002	7
SOLUSDC	2025-06	-111	26	23.2435203947946	1.5	0.05	1.5	3.300000000000002	7
SOLUSDC	2025-06	-111	27	20.62356927363849	1.5	0.05	1.5	3.400000000000002	11
SOLUSDC	2025-06	-111	28	19.86092344060043	1.5	0.05	1.5	3.500000000000002	11
SOLUSDC	2025-06	-111	29	20.055369159157827	1.5	0.05	1.5	3.6000000000000023	11
SOLUSDC	2025-06	-111	30	23.887855683318975	1.5	0.05	1.5	3.7000000000000024	11
SOLUSDC	2025-06	-111	31	22.099861406731353	1.5	0.05	1.5	3.8000000000000025	11
SOLUSDC	2025-06	-111	32	21.66831956333354	1.5	0.05	1.5	3.9000000000000026	11
SOLUSDC	2025-06	-111	33	31.84665154364343	1.5	0.15	1.5	0.8	5
SOLUSDC	2025-06	-111	34	29.865938255450352	1.5	0.15	1.5	0.9000000000000001	5
SOLUSDC	2025-06	-111	35	25.77314536569942	1.5	0.15	1.5	1.0000000000000002	5
SOLUSDC	2025-06	-111	36	26.180388787864146	1.5	0.15	1.5	1.1000000000000003	5
SOLUSDC	2025-06	-111	37	26.274620543244886	1.5	0.15	1.5	1.2000000000000004	5
SOLUSDC	2025-06	-111	38	30.858535906197943	1.5	0.15	1.5	1.3000000000000005	5
SOLUSDC	2025-06	-111	39	31.595924752562976	1.5	0.15	1.5	1.4000000000000006	5
SOLUSDC	2025-06	-111	40	28.795883379186947	1.5	0.15	1.5	1.5000000000000007	5
SOLUSDC	2025-06	-111	41	27.843846199108228	1.5	0.15	1.5	1.6000000000000008	5
SOLUSDC	2025-06	-111	42	28.491671969539695	1.5	0.15	1.5	1.7000000000000008	4
SOLUSDC	2025-06	-111	43	26.829329233686977	1.5	0.15	1.5	1.800000000000001	5
SOLUSDC	2025-06	-111	44	26.760917491739736	1.5	0.15	1.5	1.900000000000001	5
SOLUSDC	2025-06	-111	45	26.725011374029066	1.5	0.15	1.5	2.000000000000001	5
SOLUSDC	2025-06	-111	46	24.778467300336665	1.5	0.15	1.5	2.100000000000001	5
SOLUSDC	2025-06	-111	47	24.96150605929762	1.5	0.15	1.5	2.200000000000001	5
SOLUSDC	2025-06	-111	48	26.595624798957044	1.5	0.15	1.5	2.300000000000001	6
SOLUSDC	2025-06	-111	49	25.965325152533563	1.5	0.15	1.5	2.4000000000000012	6
SOLUSDC	2025-06	-111	50	24.904427964902485	1.5	0.15	1.5	2.5000000000000013	6
SOLUSDC	2025-06	-111	51	24.432554656568236	1.5	0.15	1.5	2.6000000000000014	6
SOLUSDC	2025-06	-111	52	23.59660495749377	1.5	0.15	1.5	2.7000000000000015	6
SOLUSDC	2025-06	-111	53	22.073262131682768	1.5	0.15	1.5	2.8000000000000016	6
SOLUSDC	2025-06	-111	54	21.187059754709814	1.5	0.15	1.5	2.9000000000000017	6
SOLUSDC	2025-06	-111	55	21.93130977300697	1.5	0.15	1.5	3.0000000000000018	6
SOLUSDC	2025-06	-111	56	22.58930472396313	1.5	0.15	1.5	3.100000000000002	7
SOLUSDC	2025-06	-111	57	22.51681553401156	1.5	0.15	1.5	3.200000000000002	7
SOLUSDC	2025-06	-111	58	22.39871736573213	1.5	0.15	1.5	3.300000000000002	6
SOLUSDC	2025-06	-111	59	21.17046467570075	1.5	0.15	1.5	3.400000000000002	11
SOLUSDC	2025-06	-111	60	19.194035700955414	1.5	0.15	1.5	3.500000000000002	11
SOLUSDC	2025-06	-111	61	19.208902302812053	1.5	0.15	1.5	3.6000000000000023	11
SOLUSDC	2025-06	-111	62	23.060383989508384	1.5	0.15	1.5	3.7000000000000024	11
SOLUSDC	2025-06	-111	63	22.360525778462698	1.5	0.15	1.5	3.8000000000000025	10
SOLUSDC	2025-06	-111	64	21.9505754785002	1.5	0.15	1.5	3.9000000000000026	10
SOLUSDC	2025-06	-111	65	30.65415917066533	1.5	0.25	1.5	0.8	5
SOLUSDC	2025-06	-111	66	28.732225933015442	1.5	0.25	1.5	0.9000000000000001	5
SOLUSDC	2025-06	-111	67	27.13617810886828	1.5	0.25	1.5	1.0000000000000002	5
SOLUSDC	2025-06	-111	68	26.72674827892551	1.5	0.25	1.5	1.1000000000000003	5
SOLUSDC	2025-06	-111	69	27.01464227348466	1.5	0.25	1.5	1.2000000000000004	5
SOLUSDC	2025-06	-111	70	30.662200890224128	1.5	0.25	1.5	1.3000000000000005	5
SOLUSDC	2025-06	-111	71	30.85218522664465	1.5	0.25	1.5	1.4000000000000006	5
SOLUSDC	2025-06	-111	72	29.92595231207773	1.5	0.25	1.5	1.5000000000000007	5
SOLUSDC	2025-06	-111	73	27.973132857508002	1.5	0.25	1.5	1.6000000000000008	5
SOLUSDC	2025-06	-111	74	26.927324253339215	1.5	0.25	1.5	1.7000000000000008	5
SOLUSDC	2025-06	-111	75	26.196108252440716	1.5	0.25	1.5	1.800000000000001	5
SOLUSDC	2025-06	-111	76	25.18867833645771	1.5	0.25	1.5	1.900000000000001	5
SOLUSDC	2025-06	-111	77	23.769717393785967	1.5	0.25	1.5	2.000000000000001	5
SOLUSDC	2025-06	-111	78	24.865716396324746	1.5	0.25	1.5	2.100000000000001	5
SOLUSDC	2025-06	-111	79	25.175640563503325	1.5	0.25	1.5	2.200000000000001	5
SOLUSDC	2025-06	-111	80	26.79763235698612	1.5	0.25	1.5	2.300000000000001	6
